CQT,Covalent,$0.094267333005,-16.2%
SFP,SafePal,$0.579582,-15.7%
SPRT,Sportium,$0.069036835039,-14.9%
LAZIO,Lazio Fan Token,$6.72,-14.9%
FWT,Freeway,$0.001035357919,-13.4%
VOLT,Volt Inu,$0.000001664993,-13.2%
SANTOS,Santos FC Fan Token,$8.83,-11.2%
TWT,Trust Wallet,$2.05,-11.0%
TKO,Tokocrypto,$0.211757,-10.7%
KIN,Kin,$0.000010062732,-10.5%
TITAN,TitanSwap,$0.097050145653,-9.4%
MATH,MATH,$0.122067,-9.3%
MEDIA,Media Network,$30.78,-8.9%
CHZ,Chiliz,$0.232833,-8.8%
BITCI,Bitcicoin,$0.004645987712,-8.7%
UMEE,Umee,$0.006804938629,-8.7%
POR,Portugal National TFT,$5.61,-8.7%
EUL,Euler,$4.55,-8.5%
DKA,dKargo,$0.028657475451,-8.4%
ANT,Aragon,$1.95,-8.3%
SNFT,Spain National FTFT,$0.472201,-8.3%
DFX,DFX Finance,$0.280762,-7.9%
CUBE,Cube Network,$0.135563,-7.8%
ARG,Argentine Football AFT,$7.65,-7.5%
MRS,Metars Genesis,$0.873663,-7.1%
UQC,Uquid Coin,$5.12,-7.1%
XRD,Radix,$0.043445540809,-6.9%
MBS,MonkeyLeague,$0.072742904199,-6.6%
TPT,TokenPocket Token,$0.007815247989,-6.5%
PLU,Pluton,$8.30,-6.5%